,text,target
40,кредиты газпромбанка работникам сибур,0
41,после намаза на выходе раздавали бесплатные симки зареганые на левое юр лицо взял мтс и билайн,0
42,сбербанк из за сбоя повторно списал средства с карт некоторых клиентов,-1
43,как взять доверительный платеж на билайне,0
44,банк москвы и представили сервис оплаты питания в московских школах,1
45,кредитная карта россельхозбанка отзывы,0
46,сбербанк и втб попадут под санкции ес он расширил список лиц к которым будут применены ограничения в ви,-1
47,происшествия в лдпр раскритиковали заявление главы втб о российском парламенте новости,0
48,сбербанк мтс спортмастер спасибо,1
49,получить кредит в банк москвы,0
50,хуже предприятия оао сбербанк россии возможно больше нету в мире руководящий состав скорее всего это тупые куры,-1
51,кредиты сбер банка россии,0
52,добрый ночи дозвониться до вашей службы поддержки опять не судьба номер разберитесь пожалуйста,-1
53,где находится номер карты сбербанка,0
54,конечно была в шоке и написала жалобу в мтс но менеджеры ничем не утешили и все списали на мою невнимательность,-1
55,ручные настройки ммс билайн,0
56,кредиты в калининграде сбербанк,0
57,процентные ставки по кредитам в россельхозбанке в,0
58,сбербанк взять кредит на машину,0
59,ведомости создание сп ростелекома и задерживается,0
60,билайн делает мобильный видеоконтент еще доступней,1
61,вооот оно чо оказывается да т правильные советы по питанию а по банковской деятельности не дают может в общепит обратиться,-1
62,сбербанк онлайн опять не работает,-1
63,сбербанк сижу в очереди уже часа и это отделение в центре москвы на газетном что же в регионах,-1
64,сколько можно заработать на памм доверительное управление втб,0
65,втб прекратил прием консульских сборов за оформление виз сша,-1
66,кредит наличными в газпромбанке,0
67,связь оператора мтс украина на полуострове полностью пропала,-1
68,акционный автокредит от альфа банка от годовых,0
69,мтсгавно,-1
70,ошибка подключения по вай фай билайн,0
71,сбербанк навязывает кредитную карту,-1
72,мтс сбербанк и прочие тоже смазывают лыжи лукойл продает свои бензоколонки на украине,-1
73,пока информация не поступала вы можете зарегистрироваться в сетях или сб мтс,0
74,хайвей безлимит в воронеже он правда полный или забыли написать про работу только по ночам,0
75,потребительский кредит сбербанк россии пензенской области,0
76,выгодный кредит в россельхозбанке калькулятор,0
77,автокредитование альфабанк,0
78,здравствуйте пришлите пожалуйста номер модема конт тел и ссылку на твит нам на для проверки билайн,0
79,в первом квартале года расширила сеть дистрибуции на территории вологодской области,1
80,а что вы можете сказать о банке райффайзен,0
81,здравствуйте уточните пожалуйста область вашего подключения билайн,0
82,привет а в краснодаре планируется запуск сетей ого поколения краснодар,0
83,может исключить из индексов сбербанк и втб,-1
84,да в ней оказалась проблема как заменить симку оставив номер как если бы я скажем потерял телефон насколько это быстро,0
85,связной и мтс больше не продают ноутбуки,-1
86,модем мегафон е инструкция по применению применению инструкция,0
87,в том числе субъектам малого и среднего предпринимательства выдано более трлн рублей россельхозбанк направил на реализацию госпрогра,0
88,мтс банк предложил своим клиентам виртуальную карту мтс деньги,0
89,сбербанк явно что то сделал с переводами через сбербанк онлайн на избирательный счет,0
90,сбербанк проводит акцию снимайте наличные средства по кредитным картам без комиссии ннов,0
91,ограничений не обнаружено напишите пож та нам на номер телефона и ссылку на твит разберемся,0
92,курс доллара в банках челябинска оао россельхозбанк оао банк,0
93,справка для оформления кредита поручительства оао сбербанк россии образец,0
94,тихоокеанский внешторгбанк оформить кредитную карту,0
95,бизнес газпромбанк погасил синдицированный кредит на млрд газпромбанк своевременно погасил синдицирован,1
96,директор филиала россельхозбанка приговорен к условному сроку,-1
97,в новый список санкций ес выйдут сбербанк и втб,-1
98,билайн приморье и сеть магазинов технопоинт делают подарки покупателям,1
99,взять ипотеку в сбербанке калькулятор,0
100,у меня вообще не работают втб мтс,-1
101,взять кредит сбербанк россии казань,0
102,сбербанк чита кредиты,0
103,наворовали денег теперь отмечают мтс гуляет стадом в человек мосэкспо павильон,-1
104,сми в список санкций ес будут включены сбербанк и втб санкции резко ограничит возможности крупнейших россий,-1
105,а тв и интернета не было ни в часов ни в декабря ни в часа ночи го декабря,-1
106,альфа банк расчет кредита,0
107,задрал считает себя умнее меня ни в какую не хочет проводить еще один платеж на мобильный на тот ж,-1
108,можно попробовать установить моб приложение услуги билайн приложение размещается в и билайн,0
109,здравствуйте если у вас возникнут вопросы вы сможете получить инфо отправив на номер или по,0
110,можно ли взять кредит в сбербанке рф в караганде,0
111,ипотечные кредиты в райфайзенбанке,0
112,отключить услугу вы можете через сбербанк онлайн или в кц,0
113,сбербанк и втб пополнили санкционный список евросоюза,-1
114,мтс кредит доверия беларусь,0
115,эу у вас то там все нормально с лицензией деньги не пора срочно со счетов снимать,0
116,взять кредит в томске альфа банк,0
117,петербург мтс,0
118,кредиты в альфа банке в мурманске,0
119,не надо вы в каком городе находитесь сб мтс,0
120,я проблему решил техподдержку рекомендую научить матчасти и общению с клиентами далеко не все пользователи бестолковые,-1
121,три месяца мобильного интернета в подарок от билайн,1
122,та мтс работало и лайф работал,1
123,президент ростелекома калугин приобрел акции компании на млн руб,0
124,банк москвы втб и россельхозбанк включены в новый санкционный список,-1
125,билайн мобильный перевод с телефона на телефон,0
126,вы может отписаться от рассылки отправив сообщение со словом стоп или на номер иа мтс,0
127,взять кредитку в альфа банке,0
128,кстати мтс потихоньку цены поднимает у других операторов также,-1
129,образец заявления в сбербанк,0
130,банк уралсиб авто кредит москва,0
131,кто сколько перебежчиков принял вся россия билайн мегафон мтс ростелеком смартс таттелеком,0
132,добрый день подскажите пожалуйста если с карты деньги украли то сбербанк с этим не разбирается и деньги не вернут,-1
133,мтс поделится с акционерами,0
134,ростелеком и завершили создание совместного сотового оператора представители ростелеком и,0
135,ростелеком заявил подключи пакет музыкальный шо вот они гонят тыкаю пакет в розетку нифига не поет или ты хочеш сказать он не музыкальный,-1
136,кредиты на жилье россельхозбанк рмэ,0
137,интернет мтс самый конченый одни эмоции,-1
138,смысл я уж лучше тогда другого провайдера найду давно хотел теперь хоть смысл будет,-1
139,взять автокредит в россельхозбанке,0
140,мтс объявила об итогах работы на корпоративном рынке в первом полугодии г количество корпоративных клиентов мобильного бизнеса мтс из,0
141,настройки мтс интернет на айфон,0
142,чувствую себя человеком у которого взяли деньги но не дали плюшек позвоните пожалуйста еще раз,-1
143,мтс ночью меня окончательно добил вторую ночь подряд нет связи,-1
144,мегафон в этом плане очень даже ничего,1
145,заявление на ипотеку теперь можно подать в любом отделении райффайзенбанка,1
146,у вас что отключение услуг через оператора платное,0
147,а можно сделать чтобы описание будь в курсе было доступно сразу из кабинета,0
148,заказать кредитную карту сбербанка,0
149,адрес билайна,0
150,сбербанк собрал для кубани более млн,0
151,ростелеком предоставил услуги связи новому филиалу сбербанка в первомайске,1
152,пришла на работу а тут классный календарь от билайн,1
153,в калужской области банк втб лишился банкомата с деньгами,-1
154,крутой мтс забрал рубля за час разговора почему то я очень рада этой мелочи,1
155,утром подъезжая к дубне получаю смс от мегафона добро пожаловать домой,0
156,кредит на квартиру в спб сбербанк россии,0
157,образовательный кредит в втб,0
158,н да ес ограничил доступ к рынкам капитала для сбербанка втб газпромбанка внешэкономбанка россельхозбанка официально,-1
159,ебаный сбербанк сожгу нахуй и так каждый раз когда с ирой идем снимать деньги,-1
160,можно ли взять кредит в россельхозбанке,0
161,газпромбанк казань потребительский кредит процентная ставка,0
162,втб белгород кредит,0
163,мтс украина в течение часов прекратит обслуживание абонентов в крыму в связи с техническими проблемами вызванными действиями киева н,-1
164,вымпелком увеличит скорость интернета для,0
165,я кстати по этой же причине и с мтсом до сих пор нихуя не решил гг,-1
166,сбербанк в своем репертуаре блеать лучи дикой ненависти этой организации горите в аду бесится,-1
167,внешторгбанк это конечно открытип века просто,0
168,пришел на работу в мегафон в кофте мтс,0
169,чтобы исправить ситуацию нужен ваш номер пож та отправьте его и описание проблемы на спасибо,0
170,вс в порядке с ней возможно сам магазин просто заблокировал под предлогом санкций так же не принимают и газпромбанк,-1
171,мегафон повысил цены на старые тарифы на,-1
172,ипотечное кредитование сбербанк москвы,0
173,кредитка от альфа банка отзывы,0
174,в подробностях не помню знаю что не подключал альфа чек но отключал точно,0
175,интернет банк втб проверить баланс,0
176,взять ипотеку в газпромбанке,0
177,неужели все банкоматы одновременно работают прям сказка вот бы так в буме на братиславской,1
178,не гони на мтс,1
179,почему мой текущий баланс отличается от условного это обман пользователь,-1
180,интернет магазин мтс в москве и подмосковье розничная сеть мтс крупнейший в россии операторский ритейлер,0
181,на днях в марийском филиале россельхозбанка были подведены итоги акции ипотека от россельхозбанка дизайн интерьера в подарок по ее усл,0
182,сбербанк втб газпромбанк внешэкономбанк и россельхозбанк оказались в черном списке,-1
183,объем закупок размещенных на этп газпромбанка в первом полугодии г вырос на электронная торговая площадка газпромбанка этп г,1
184,ростелеком обеспечит скоростным интернетом фонды социального и медицинского страхования в красноярском крае,1
185,бун дкор ва мтс збекистон,0
186,да да я тоже заметила я во многих клипах есть у билайна,0
187,в крыму перестал обслуживать абонентов сотовый оператор мтс украина при попытке набрать номер симферопольские клиенты мт,-1
188,спасибо наоборот здорово в автоматах можно покупать еду почти без сдачи с наступающим,1
189,и снова сообщает сегодня ожидается усиление ветра с порывами до м с,0
190,знание правил безопасного пользования паролями в интернете спасет ваши деньги от мошенников,0
191,долбаный ростелеком гори в аду,-1
192,нет речь про работу разных гаджетов на одном номере,0
193,теперь мтс,0
194,ахахахаха бля мтс такой мтс,-1
195,россельхозбанк и газпромбанк попавшие под западные санкции попросили у государства о финансовой поддержке об этом сообщают ведомости,-1
196,зы если этот пост читают специалисты билайна прошу расскажите что нужно чтобы дом подключили,0
197,кредит банк альфа банк процентная ставка,0
198,ставки по кредитам сбер банка,0
199,ипотечный кредит втб калькулятор,0
200,пришло сообщениедумаю да ну ты мне первая написала а нет билайн,1
201,райффайзенбанк одностороннее изменение процента по кредиту,0
202,дадут ли мне кредит в втб ярославль,0
203,у кого мтс и нормальный телефон заработало в ростове лте,0
204,карты оплаты кредита альфабанк,0
205,сбербанк россии кредит отзывы,0
206,оформление автокредита в сбербанке,0
207,доверительный на билайн,0
208,заявка в банк москвы,0
209,компания полностью поменяла свой образ в рекламе обновила линейку тарифов и усовершенствовала подход к обслуживанию абонентов,1
210,сбербанк к олимпиаде научит свои банкоматы французскому языку,0
211,сбербанк процентные ставки на потребительский кредит,0
212,мтс в кемерово оповестит абонентов о чс через цифровое телевидение,0
213,наталья привет можно на ты благодаря тебе научилась пользоваться альфа кликом попробовала перевести деньги,0
214,отчиталась о проделанной работе социальной направленности москва россия альтернативный оператор мобильной связи выпустил п,0
215,воронеж сбербанк кредитный калькулятор,0
216,здравствуйте подскажите вы имеете в виду личный кабинет по мобильной связи или по проводному интернету билайн,0
217,фильтр оградит абонентов мегафона от нежелательных сообщений новая услуга фильтр заблокирует входящие от нежелательных,1
218,возможность быть онлайн специфика работы требует очень радует теперь ещ вафай переносной модем куплю мегафоновский и вообще в,1
219,печатная форма с заявление сбербанк,0
220,сбербанк кредит со скольки лет сбербанк кредит со скольки лет,0
221,кредитная карта билайн оформить,0
222,кредиты втб год ставки,0
223,новости банков дальневосточный сбербанк способствует развитию птицеводства в магаданской области банки кредиты,1
224,образец заполнения документов на получение кредита в сбербанке на ооо,0
225,сбербанк попадет под третий раунд санкций ес шеф брюссельского бюро,-1
226,нравится встроенный в альфабанк,1
227,вологда начал блокировать рассылки сообщений поступающих с буквенно символьных и коротких номеров из сетей других операторов,0
228,билайн молча перевел меня на другой тариф и молча съел рублей проверьте свой тарифный план в личном кабинете,-1
229,взять кредит в райффайзенбанке через интернет,0
230,казахстан тарас пархоменко признан лучшим менеджером казахстана в премии люди года по версии,0
231,да в штатном режиме спасибо,0
232,кредитные калькуляторы втб в уфе,0
233,здравствуйте подскажите пожалуйста как часто возникают ограничения с низкой скоростью билайн,0
234,напишите нам подробнее об этом указав мтс конт и точный адрес проведем проверку иа мтс,0
235,мтс позволила подключать на одну карту до трех номеров,0
236,пошаговая инструкция оплаты интернета билайн до включения ноутбука оплаты ноутбука,0
237,зафолловил билайн и тут же в близких по духу на хвоста упали мтс и мегафон веселая но только пока тройка,0
238,мтс повреждено оборудование в г енакиево из за боевых действий жители донбасса испытывают трудности со связью,-1
239,красныйлуч лежат почти все провайдеры в т ч укртелеком плат жные терминалы не работают мтс не ловит,-1
240,то ли билайн вчера решил пошутить надо мной то ли я чего то не понимаю,-1
241,вымпелком ликвидировал отставание от конкурентов по качеству связи,0
242,автокредит в альфа банке харьков,0
243,как оформить кредит в россельхозбанке рассчитать,0
244,кредитная пластиковая карта сбербанка,0
245,риа экономика сбербанк лизинг на свое летие реализует спецпрограмму юбилейная,0
246,здравствуйте скажите планируете ли вы выпустить приложение для спасибо,0
247,после просмотра рекламы от мтс с аллой цупер вдохновился впервые реклама безумно нравится думал она в теме но жаль у нее семья и дочь,1
248,я так понял из телерекламы что платить по кредитам сбербанка под силу только богам,-1
249,у нас только мтс ловится иногда даже очень хорошо мегафон стабильно еле еле ждем новую вышку мегафона рядом,-1
250,перехожу на билайн нах,1
251,как открыть кредитную карту банк москвы,0
252,герман оскарович верните проценты хватит воровать у простого народа сбербанк в вашем исполнении наглый вор,-1
253,санкции ес не нарушили финансовую устойчивость газпромбанка,1
254,сбербанк россии как получить кредит на развитие,0
255,как пополнить кукурузу с карты сбербанка,0
256,я новости сша ввели санкции против втб банка москвы и россельхозбанка,-1
257,автокредит сбербанк в ижевске,0
258,альфа банк экспресс кредиты,0
259,билайн совершенствует связь с учетом пожеланий абонентов,1
260,для скайлинк модем,0
261,мтс украина интернет точка доступа для,0
262,перепрошивка модема билайн,0
263,друзья напоминаем вам о нашем конкурсе,0
264,часть абонентов билайн осталась без связи на юге россии,-1
265,фича с покупкой кодов для в приложении сбербанк онлайн для реально работает,1
266,немного статы и прогнозов по продуктам и выпускает сейчас со скоростью ты,0
267,ростелеком начал создавать систему для интернет трансляции выборов,0
268,киви кошел к теперь берет с платежей на мтс комиссию в рублей да они охренели это мне почти как мин разговора с другими сетями,-1
269,я настолько одинока что смс на тел приходят только от мтс теле дашули звонки от мамы мне даже гулять не с кем,0
270,более миллиона клиентов среднерусского банка активно используют сбербанк онл,1
271,светлаков поздравил как президент лучшую новогоднюю кампанию в этом году представили билайн и,1
272,банк москвы кредиты физическим лицам,0
273,мтс собирается увеличить дивиденды на,0
274,власти сша ввели санкции против банка москвы втб и россельхозбанка сообщает риа,-1
275,кредит коммерсант втб,0
276,оператор мобильной связи мегафон установил рост уровня потребления интернет трафика и других услуг связи после приобретения нового смартф,0
277,тут увидел что директор мтс интервью дает интересно провести опрос кто на какой связи я мтс тариф супер,0
278,руководство билайн контакты,0
279,михаэль хеккер из мтс станет вице президентом афк система,0
280,уралсиб банк оформить кредитную карту онлайн,0
281,ростелеком скачать,0
282,сми сбербанк и втб попадут в санкционный список ес,-1
283,наши вес лые гости из иваново и кострома билайн билайн оцо,0
284,деньги,0
285,полазила по сайту билайна и поняла что у меня подключен самый выгодный интернет,0
286,нашел карту сбербанка на имя иванова айсена в районе китайской стены курашова может кто знает макс репост в личку,0
287,сбербанк россии является банком мошенников и воров,-1
288,перейти на другой тариф билайн рублей перейти на тариф другого оператора рублей в компании как бы намекают,-1
289,как закрыть кредитную карту в альфа банке,0
290,компания вымпелком билайн бизнес представила новую линейку пакетных тарифных планов все для бизнеса и линейку тарифных планов для м,0
291,добрый вечер а что происходит с в вашей сети не работают смартфоны,-1
292,кредит втб схема расчета кредита авто экспрес,0
293,билайн расширяет свое влияние в приморье,1
294,райфайзен банк онлайн заявка на кредит наличными,0
295,кредит на развитие бизнеса в россельхозбанке,0
296,при выборе оплаты заказа картой предлагает мне распечатать квитанцию сбербанка а я в сиэтле хвала спасительным,0
297,я через мобильный банк оплачиваю сбер не спрашивает оператора,0
298,более миллиона клиентов среднерусского банка активно используют сбербанк онл,1
299,компания мобильные телесистемы мтс сообщила о подписании соглашения о социально экономическом сотрудничестве с правительством кировской,0
300,мтс запустил сеть в хабаровском крае сайт,0
301,авдеевка связь мтс нет уже третий день в авдеевку дозвониться невозможно из авдеевки иногда звонки проходят,-1
302,кредит дней альфа банк,0
303,программа счастливое время не рассчитана на пользователей с тарифами все включено если вы укладываетесь в отведенные минуты,0
304,госстрахование вкладов лишь банкам с госучастием цбрф,0
305,банк втб повысил ставки по трем вкладам в рублях,1
306,августа во вторник абоненты компании мтс украина остались без сети эксперты раздела новости украины онлайн журнала биржевой лидер,-1
307,мтс уверяет что оффшоров у нее нет,0
308,мегафон запустил в пятницу сеть в пскове ранее услуга в регионе стала доступна абонентам мтс вымпелком пока г,0
309,как отключить услуги на мтс бит,0
310,кредит газпромбанка саратов,0
311,героини не моего романа у нас тут как вы метко выразились не сбербанк поэтому у меня акционера ч,0
312,если верить оф сайту и их новостям то в самарской области и в тольятти запустили от мтс,1
313,втб как взять кредит в тульской обл,0
314,в банке например сбербанк россии дополнительный офис,0
315,ростелеком подключил тысяч корпоративных клиентов в сибири,0
316,ростелеком разнообразит закупки госкомпанию заинтересовало отечественное оборудование,0
317,кредиты на автомобили альфа банк,0
318,цифровое телевидение мтс как настроить,0
319,альфабанк кредитная карта дней,0
320,мтс украина предлагает бесплатный час в соцсетях,1
321,делают ли распечатку операций карт сбербанка,0
322,у мтс в последние месяцы тоже говно какое то происходит ну про иблай я вообще молчу,-1
323,здравствуйте добро пожаловать в ряды наших абонентов очень рады если будут какие то вопросы смело обращайт,1
324,почему сбербанк россии активно кредитует модернизацию украинского впк,0
325,мтс альфа банк,0
326,игры на телефон мтс скачать на телефон,0
327,вслед за мегафоном новый приют для своих денег нашли норникель и новатэк,0
328,черт я забыл свой номер от билайна,0
329,украина погасила полученный от сбербанка и втб кредит на млн долларов,0
330,гарри и реклама билайн,0
331,бизнесмен обманул россельхозбанк на млн рублей камчатка,-1
332,говорящий банкомат сбербанка,0
333,экс сотрудница сбербанка в кемеровской области обвиняется в мошенничестве,-1
334,банк москвы отзывы,0
335,программы для модема билайн скачать для взлома,0
336,связь мтс исчезла во всем крыму у компании нет доступа к оборудованию,-1
337,при покупке часов сбербанк с золотой карты сделал скидку через мелочь а приятно,1
338,банк втб кредиты узнать как получить кредит,0
339,втб ставрополь автокредит условия,0
340,кредит на свадьбу в втб,0
341,у мтс проблемы со связью из за замены оборудования,-1
342,в ростелекоме стартовал ежегодный проект поколение по обучению людей пожилого возраста компьютерной грамотности и работе в сети,1
343,по каким дням можно получить кредит в сбербанке,0
344,откуда в тарифе долг руб тариф не подразумевает кредитов,-1
345,и билайн и мтс работает,1
346,билайн снизил цены на мобильный интернет в европе и снг,1
347,ну мтс не надо так делать,-1
348,если ситуация сохраняется напишите нам пожалуйста номер мтс и точный адрес иа мтс,0
349,бизнес мтс реорганизует часть розничной сети в пользу обслуживания действующих абонентов москва августа прайм мтс реорганизу,1
350,да и сбербанк в этом плане не блещет,-1
351,чем вызвано ваше решение дп мтс,0
352,мтс,0
353,телефоны чиновников будут обслуживать с почти процентной скидкой мтс установил скидку на цены обслуживания телефонных номеров для,0
354,по сотовой связи бвк дома хер где поймаешь а билайн все деления кажет,1
355,на мтс бесплатно скачать,0
356,устьикинские новости мегафон засудят за незаконную передачу персональны,-1
357,инструкция к планшету мегафон логин мт а мт а,0
358,ростелеком кубок костромской области по пляжному футболу,0
359,формула льготное автокредитование сбербанк,0
360,погасить кредит через банкомат альфа банк,0
361,калькулятор ипотечного кредита газпромбанк,0
362,мне вчера мтс просто пожелал хорошего дня я обалдел ахах,1
363,кредит на жиль без первоначального взноса сбербанк,0
364,решите вопрос с интернетом уже второй день не работает братишка ответит срочно,-1
365,россельхозбанк кредит калькулятор лпх,0
366,сбербанк на большой волге сбербанк график работы пн с до вт с до ср,0
367,на окраине петербурга нашелся похищенный банкомат сбербанка,-1
368,банк втб вклады для пенсионеров ближе к выходу на пенсию люди зачастую приобретают максимально возможный,0
